name,osc1 shape,osc1 fm modulation,osc2 shape,osc2 pitch,osc2 tune,osc2 kbd track,osc mix,osc sync,osc ring modulation,osc pulse width,osc key shift,osc mod env on/off,osc mod env amount,osc mod env attack,osc p.env decay,filter type,filter attack,filter decay,filter sustain,filter release,filter freq,filter resonance,filter amount,filter kbd track,filter distortion,filter velocity switch,amp attack,amp decay,amp sustain,amp release,amp gain,amp velocity sens.,arp. on/off,arp type,arp range,arp beat,arp gate,delay on/off,delay time,delay feedback,delay level,chorus on/off,chorus type,chorus delay time,chorus depth,chorus rate,chorus feedback,chorus level,equalizer tone,equalizer freq.,equalizer level,equalizer Q,play mode type,play mode portament,pitch bend range,wheel lfo1 depth sens.,lfo1 on/off,lfo1 destination,lfo1 type,lfo1 speed,lfo1 depth,lfo2 on/off,lfo2 destination,lfo2 type,lfo2 speed,lfo2 depth
Nice Sprites,1,0,2,59,64,1,0,0,0,127,0,0,64,0,0,1,0,0,127,11,99,0,63,48,0,0,8,0,127,15,60,62,0,1,0,10,64,1,8,40,8,0,4,64,64,50,64,62,64,64,64,64,1,17,12,67,1,2,1,108,5,0,5,1,65,64
Chiptune buildup?,2,0,3,64,64,1,127,0,0,127,0,1,86,99,126,1,0,0,127,11,111,0,63,63,0,0,8,0,127,15,60,62,0,1,0,10,64,0,8,40,14,0,4,64,64,50,64,62,64,64,64,64,0,0,12,67,1,2,1,91,70,0,5,1,65,64
Infernal Screech,1,0,4,64,64,1,127,0,0,127,0,0,64,0,0,1,38,50,0,69,76,120,94,127,127,0,0,0,127,0,82,0,0,1,0,10,64,0,8,40,14,0,4,64,64,50,64,62,64,64,64,64,1,36,12,67,1,3,1,127,7,0,5,1,65,64
Vibraphone (play high up),3,102,3,53,62,1,0,0,0,64,24,0,64,0,0,1,0,64,32,64,73,0,63,64,0,1,25,91,0,90,107,64,0,1,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
Computer,2,0,2,93,64,1,64,1,0,127,0,0,64,0,0,1,0,64,32,64,108,14,63,64,0,1,33,64,107,64,107,64,0,1,0,11,64,1,6,56,6,0,2,64,64,50,64,40,64,64,64,64,1,0,12,74,1,1,3,92,45,1,2,4,64,2
Hard lead,1,0,1,71,60,1,60,0,0,76,0,0,64,0,0,1,0,105,0,66,38,31,110,62,101,0,0,7,108,15,79,0,0,2,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,2,0,12,68,1,2,1,72,0,0,5,1,64,64
FM bass,0,48,3,51,65,1,3,0,0,78,0,0,64,0,0,1,0,86,0,64,45,0,87,64,28,1,18,6,107,18,107,64,0,1,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
 lo-pass rebirth,1,0,1,51,66,1,116,0,1,127,-6,0,92,0,53,1,22,72,63,64,0,112,57,64,49,1,0,64,102,47,90,0,1,3,2,14,77,1,8,64,28,1,2,36,85,40,0,8,64,12,90,9,1,9,12,114,1,5,5,17,119,1,3,5,28,81
 square subway,2,0,1,64,66,1,0,0,0,127,-12,1,90,0,34,0,0,93,0,14,27,83,30,39,0,0,0,64,96,14,94,0,0,4,3,0,0,1,0,0,6,1,2,36,64,64,0,18,49,48,77,0,1,0,12,127,1,3,0,14,0,0,2,0,10,11
 street hawk,1,71,1,39,66,1,66,0,0,127,0,1,127,5,39,0,0,42,54,0,0,83,110,112,64,1,0,122,107,20,90,22,0,4,3,0,0,1,10,68,3,1,2,78,109,26,13,21,64,31,86,31,2,37,12,34,1,5,5,19,127,1,3,5,36,27
